Country,Year,LifeLadder,Log_GDP_per_capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality
Somaliland,2017,Undefined,,,,,,,,,,,
South Africa,2017,4.513655186,9.416937828,0.870313287,56.09999847,0.787427902,-0.137357384,0.864781916,0.784800708,0.268175244,0.423274219,0.184953198,0.123070933
South Korea,2017,5.873887062,10.48956108,0.806929946,73.30000305,0.538113713,0.009390867,0.850690424,0.623377562,0.234825626,0.358582199,0.514762044,0.957986534
South Sudan,2017,2.816622496,,0.556822658,51,0.456011087,,0.761269629,0.585602164,0.517363787,0.461550504,-2.138769388,-2.018496752
Spain,2017,6.230173111,10.4420948,0.903158188,74.09999847,0.755560756,-0.036033396,0.791268766,0.625055611,0.302387655,0.269585967,0.648078322,0.869333565
Sri Lanka,2017,4.330945492,9.364697456,0.822770596,67,0.827077389,0.088255383,0.844210029,0.794951618,0.269727528,0.517589927,-0.061903223,-0.169688806
Sudan,2017,Undefined,,,,,,,,,,,
Suriname,2017,Undefined,,,,,,,,,,,
Swaziland,2017,Undefined,,
Sweden,2017,7.286804676,10.75682354,0.914016783,72.5,0.934582114,0.163362831,0.239366919,0.81354779,0.175066829,0.559461951,1.276802063,1.92774713
Switzerland,2017,7.473593235,10.95797634,0.949661374,73.80000305,0.924996912,0.17511341,0.316183478,0.773997068,0.195871487,0.819706738,1.382011414,1.964224815
Syria,2017,Undefined,,,,,,,,,,,
Taiwan Province of China,2017,6.359450817,,0.891119123,,0.75965476,,0.742780089,0.837277293,0.114123158,0.322822392,0.951502562,1.185329676
Tajikistan,2017,5.829234123,7.971400738,0.662693322,63.79999924,0.832002461,0.122264013,0.71833688,0.602667689,0.277725339,0.92979306,-1.195175648,-1.216368675
United Republic of Tanzania,2017,3.347121239,7.894804001,0.705010295,57,0.800495505,0.104961358,0.653606057,0.714645505,0.255335689,0.913339019,-0.435422927,-0.532890916
Thailand,2017,5.938895226,9.69754982,0.877268732,67,0.922896802,0.20539546,0.883816779,0.81632179,0.231597617,0.605078816,-0.902155161,0.045908973
Togo,2017,4.360805035,7.26529932,0.507805228,54.29999924,0.716694415,-0.042401545,0.725519598,0.614188969,0.425824255,0.48495236,-0.68079555,-0.833462834
Trinidad and Tobago,2017,6.191859722,10.26684761,0.916029036,63.5,0.859140456,-0.004832509,0.911336362,0.846467078,0.248098806,0.272540897,0.420911133,-0.046981119
Tunisia,2017,4.124342918,9.291855812,0.717381597,66.59999847,0.477956653,-0.23090978,0.868826747,0.420961887,0.377196848,0.250827312,-0.436561465,-0.128948361
Turkey,2017,5.607262135,10.13179111,0.876467824,66.40000153,0.644434214,-0.242938563,0.670910537,0.449800909,0.312846124,0.586161256,-1.252016187,-0.084349804
Turkmenistan,2017,5.229148865,9.704366684,0.908454895,61.79999924,0.720399201,0.04387318,,0.52088511,0.349627674,,-1.153553963,-1.54598093
Uganda,2017,4.000516891,7.437033653,0.739956141,55.29999924,0.772344112,0.069051787,0.81577003,0.703375638,0.400025725,0.655109107,-0.575335741,-0.535237134
Ukraine,2017,4.311067104,8.973908424,0.858324885,64.30000305,0.598875523,0.017136369,0.936764002,0.597112179,0.234763831,0.11093653,-0.9363603,-0.568998098
United Arab Emirates,2017,7.039419651,11.11681843,0.83552736,66.90000153,0.962016642,0.199402541,,0.795034885,0.207598448,,-0.234493166,1.085547447
United Kingdom,2017,7.103273392,10.59044647,0.937495291,72.09999847,0.812733293,0.286916465,0.418611348,0.758571804,0.20957242,0.440120846,0.797514439,1.662872434
United States of America,2017,6.9917593,10.90090561,0.921002865,68.40000153,0.868496716,0.188832819,0.681191266,0.826555312,0.268269062,0.386535019,0.677055538,1.552135468
Uruguay,2017,6.336009979,9.930685043,0.91380167,68.90000153,0.897851646,-0.101414755,0.626581967,0.835861266,0.280323356,0.413032115,1.114635468,0.737920344
Uzbekistan,2017,6.421447754,8.740833282,0.942131102,64.80000305,0.985177755,0.116510667,0.464641601,0.838989079,0.202737495,0.964690447,-1.037155151,-1.02081418
Venezuela,2017,5.070750713,9.439295769,0.895879328,66.30000305,0.635505021,-0.20603478,0.843969226,0.725642741,0.362984866,0.241123602,-1.195529699,-1.744198561
Vietnam,2017,5.175278664,8.727759361,,67.69999695,,,,,,,-0.548212826,-0.227276966
Yemen,2017,3.253560066,,0.789555013,55.90000153,0.595190763,,,0.455181897,0.295063585,0.247786984,-2.326561928,-1.678789258
Zambia,2017,3.932777405,8.213178635,0.74375391,54.79999924,0.823168576,0.128904432,0.739540637,0.684623301,0.387188882,0.717004061,-0.114061393,-0.48838523
Zimbabwe,2017,3.63830018,7.549490929,0.754147053,55,0.752826095,-0.069669798,0.751208007,0.806428373,0.224051341,0.682646692,-0.988153279,-1.350866795
Antarctica,2017,Undefined,,,,,,,,,,,
Andorra,2017,Undefined,,,,,,,,,,,
Antigua and Barbuda,2017,Undefined,,,,,,,,,,,
The Bahamas,2017,Undefined,,,,,,,,,,,
Barbados,2017,Undefined,,,,,,,,,,,
Brunei,2017,Undefined,,,,,,,,,,,
Cape Verde,2017,Undefined,,,,,,,,,,,
Northern Cyprus,2017,Undefined,,,,,,,,,,,
Dominica,2017,Undefined,,,,,,,,,,,
Eritrea,2017,Undefined,,,,,,,,,,,
Fiji,2017,Undefined,,,,,,,,,,,
Federated States of Micronesia,2017,Undefined,,,,,,,,,,,
Palestine,2017,Undefined,,,,,,,,,,,
Guinea Bissau,2017,Undefined,,,,,,,,,,,
Equatorial Guinea,2017,Undefined,,,,,,,,,,,
Grenada,2017,Undefined,,,,,,,,,,,
Kashmir,2017,Undefined,,,,,,,,,,,
Kiribati,2017,Undefined,,,,,,,,,,,
Saint Kitts and Nevis,2017,Undefined,,,,,,,,,,,
Saint Lucia,2017,Undefined,,,,,,,,,,,
Liechtenstein,2017,Undefined,,,,,,,,,,,
Monaco,2017,Undefined,,,,,,,,,,,
Maldives,2017,Undefined,,,,,,,,,,,
Marshall Islands,2017,Undefined,,,,,,,,,,,
Nauru,2017,Undefined,,,,,,,,,,,
Palau,2017,Undefined,,,,,,,,,,,
Papua New Guinea,2017,Undefined,,,,,,,,,,,
North Korea,2017,Undefined,,,,,,,,,,,
Western Sahara,2017,Undefined,,,,,,,,,,,
Solomon Islands,2017,Undefined,,,,,,,,,,,
San Marino,2017,Undefined,,,,,,,,,,,
Sao Tome and Principe,2017,Undefined,,,,,,,,,,,
Seychelles,2017,Undefined,,,,,,,,,,,
East Timor,2017,Undefined,,,,,,,,,,,
Tonga,2017,Undefined,,,,,,,,,,,
Vatican,2017,Undefined,,,,,,,,,,,
Saint Vincent and the Grenadines,2017,Undefined,,,,,,,,,,,
Vanuatu,2017,Undefined,,,,,,,,,,,
Samoa,2017,Undefined,,,,,,,,,,,
Oman,2017,Undefined,,,
